Product,711_SLIN,Dollar Sales,Unit Sales,711_UPC,UPC 13,UPC 10,Custom US Category,Custom US Sub Category,Custom US National Brand or Private Label,Custom US Manufacturer,Custom US Trademark,Custom US Flavor Bucket,Custom US Flavor,Custom US Price Tier,Custom US Take Home or Single Serve
00028400516853-RUFFLES SRCRM&ON8Z,301648,2143,360,28400516853,28400516851,2840051685,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,DAIRY,SOUR CREAM AND ONION,NON-PERMISSIBLE,TAKE HOME
00028400726252-LYSKTCKRFADDXXVL2.5Z,302420,2141,863,28400726252,28400726251,2840072625,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,ALL OTHER,ALL DRESSED,NON-PERMISSIBLE,SINGLE SERVE
00028400723299-RFLSSKHBBQXXVL2.625Z,304238,2135,868,28400723299,28400723291,2840072329,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,BBQ,SMOKEHOUSE BARBEQUE,NON-PERMISSIBLE,SINGLE SERVE
00028400632850-LAYDORT CLRNCH2.625Z,303807,2127,910,28400632850,28400632851,2840063285,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,ALL OTHER,DORITOS COOL RANCH,NON-PERMISSIBLE,SINGLE SERVE
00028400731218-FLCHTSFLMHCSPCRNXXVL,304970,2116,850,28400731218,28400731211,2840073121,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,CHEETOS,HOT/SPICY,FLAMIN' HOT CINNAMON SUGAR,NON-PERMISSIBLE,SINGLE SERVE
00028400331685-SABRITONES 2.75Z,307939,2039,831,28400331685,28400331681,2840033168,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,SABRITAS,HOT/SPICY,CHILI AND LIME,NON-PERMISSIBLE,SINGLE SERVE
00028400517942-TOSTITOS HNTOFLM11Z,301712,1895,317,28400517942,28400517941,2840051794,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,TOSTITOS,FRUIT/VEGGIE,HINT OF LIME,NON-PERMISSIBLE,TAKE HOME
00028400707862-FLXXVLBCWRPJLP2.625Z,303674,1893,801,28400707862,28400707861,2840070786,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,HOT/SPICY,BACON WRAPPED JALAPENO POPPER,NON-PERMISSIBLE,SINGLE SERVE
00028400719087-BKDLYBFCHKSWXL1.875Z,304262,1800,724,28400719087,28400719081,2840071908,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,BAKED,HOT/SPICY,BUFFALO CHICKEN SANDWICH,PERMISSIBLE,SINGLE SERVE
00028400433181-CHEETOS CRUCHY3.25Z,308063,1798,722,28400433181,28400329451,2840032945,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,CHEESE,CHEESE,NON-PERMISSIBLE,SINGLE SERVE
