Geography,Retailer Store Number,Banner Name,TDLinx,Speedway Store ID ,Street Address,City,State Code,County,ZIP Code,Latitude,Longitude,DXID
45272 746 HARDING WAY WEST GALION OH 44833,45272,Speedway ,1436908,3187,746 HARDING WAY WEST     ,GALION,OH,CRAWFORD              ,44833,40.73435,-82.80179,999BPO8
45298 548 SOUTH MECCA STREET CORTLAND OH 44410,45298,Speedway ,442785,3407,548 SOUTH MECCA STREET   ,CORTLAND,OH,TRUMBULL              ,44410,41.3204,-80.7311,999QP4T
45456 1618 SOUTH WASHINGTON ST MILLERSBURG OH 44654,45456,Speedway ,626291,6247,1618 SOUTH WASHINGTON ST ,MILLERSBURG,OH,HOLMES                ,44654,40.5339,-81.9175,99AXYFI
45216 624 SOUTH 30TH STREET HEATH OH 43056,45216,Speedway ,445179,1170,624 SOUTH 30TH STREET    ,HEATH,OH,LICKING               ,43056,40.0352,-82.4426,999QSPB
45557 3239 MEDINA ROAD MEDINA OH 44256,45557,Speedway ,503227,9294,3239 MEDINA ROAD         ,MEDINA,OH,MEDINA                ,44256,41.1367,-81.8043,999GXEQ
45353 5211 MANCHESTER ROAD NEW FRANKLIN OH 44319,45353,Speedway ,151448,3672,5211 MANCHESTER ROAD     ,NEW FRANKLIN,OH,SUMMIT                ,44319,40.9609,-81.5658,99ATM0B
45342 4661 WOODVILLE ROAD NORTHWOOD OH 43619,45342,Speedway ,138657,3643,4661 WOODVILLE ROAD      ,NORTHWOOD,OH,WOOD                  ,43619,41.6004,-83.4618,99ASJUI
45311 1 NORTH MERIDIAN ROAD YOUNGSTOWN OH 44509,45311,Speedway ,446211,3542,1 NORTH MERIDIAN ROAD    ,YOUNGSTOWN,OH,MAHONING              ,44509,41.1032,-80.7108,999QSP4
45206 2920 12TH STREET NW CANTON OH 44708,45206,Speedway ,177653,1153,2920 12TH STREET NW      ,CANTON,OH,STARK                 ,44708,40.8098,-81.4065,999X229
45324 100 NORTH DIXIE HIGHWAY CRIDERSVILLE OH 45806,45324,Speedway ,151454,3612,100 NORTH DIXIE HIGHWAY  ,CRIDERSVILLE,OH,AUGLAIZE              ,45806,40.6547,-84.1339,999X0G8
45438 5695 RAPID RUN ROAD CINCINNATI OH 45238,45438,Speedway ,442751,5409,5695 RAPID RUN ROAD      ,CINCINNATI,OH,HAMILTON              ,45238,39.1116,-84.6351,999QSEG
45343 1161 NORTH RIDGE ROAD E LORAIN OH 44055,45343,Speedway ,151436,3648,1161 NORTH RIDGE ROAD E  ,LORAIN,OH,LORAIN                ,44055,41.4183,-82.1538,999QQB4
45624 1055 SOUTH HAMILTON ROAD COLUMBUS OH 43227,45624,Speedway ,60345,9744,1055 SOUTH HAMILTON ROAD ,COLUMBUS,OH,FRANKLIN              ,43227,39.9546,-82.8772,999LCBH
45459 202 SOUTH MAIN STREET DELPHOS OH 45833,45459,Speedway ,445080,6345,202 SOUTH MAIN STREET    ,DELPHOS,OH,ALLEN                 ,45833,40.8414,-84.3395,99AU24J
